"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","type"
"1065","70","text","0","1068","0.0-0.0",""
"461","70","text","1","2531","0.0-1.0",""
"422.44897959183714","70","single-audio","2","5057","0.0-2.0-0.0","female"
"288.93424036281255","70","single-audio","3","7003","0.0-2.0-1.0","male"
"230.88435374149617","70","single-audio","4","8620","0.0-2.0-2.0","beeps"
"201.85941043084023","70","single-audio","5","11165","0.0-2.0-3.0","female"
"213.46938775510262","70","single-audio","6","13545","0.0-2.0-4.0","beeps"
"799.7732426303869","70","single-audio","7","15322","0.0-2.0-5.0","male"
"713","70","text","8","17574","0.0-3.0",""
